field_id,satellite_series,pair_count,pearson_r,r_squared,r_squared_group,mean_kornix_expected_fcover,mean_satellite_value,slope_satellite_per_kornix_fcover,intercept
SP:6.1,FCOVER,11,0.29340031979823894,0.08608374765770888,Низкое совпадение (R² < 0.70 или обратная связь),0.19240197628458497,0.2227889058518816,0.33250461391660774,0.15881436101058335
SP:6.2,FCOVER,12,0.19317498259292687,0.0373165738997776,Низкое совпадение (R² < 0.70 или обратная связь),0.155653364389234,0.2701508726847048,0.2585844459133951,0.22990133369955892
SP:6.3,FCOVER,13,0.6011994765635458,0.36144081062028144,Низкое совпадение (R² < 0.70 или обратная связь),0.22996340181557576,0.3099363836316535,0.7065182689049903,0.14746303906941022
SP:6.4,FCOVER,12,0.9529992660708639,0.9082076011316054,Высокое совпадение (R² >= 0.70),0.28310067287784685,0.2490664713550359,0.8752605845245021,0.001279610932691827
SP:6.5,FCOVER,12,0.9111845177290185,0.8302572253490641,Высокое совпадение (R² >= 0.70),0.27102748447204966,0.2595798328984529,0.773824372159339,0.049852159888944064
SP:6.6,FCOVER,12,-0.24092115445534545,0.05804300266409642,Низкое совпадение (R² < 0.70 или обратная связь),0.2676210662525879,0.12155250444387396,-0.09183227534364878,0.1461287558877425
SP:6.7,FCOVER,13,-0.35269239437627226,0.12439192505086796,Низкое совпадение (R² < 0.70 или обратная связь),0.2919955267558528,0.12902138224587992,-0.16211809458402918,0.17635914067059869
SP:7.10,FCOVER,14,0.7351767606515942,0.5404848694021714,Низкое совпадение (R² < 0.70 или обратная связь),0.274638198757764,0.2623196837292718,0.7047941715500786,0.06875628195978767
SP:7.11,FCOVER,14,0.6165918755391497,0.3801855409808863,Низкое совпадение (R² < 0.70 или обратная связь),0.27207821650399294,0.29065396057974013,0.5143868598465053,0.1507005011596136
SP:7.12,FCOVER,14,0.9357020175073483,0.8755382655673218,Высокое совпадение (R² >= 0.70),0.3088740905057676,0.2802433244817491,0.9406353170807182,-0.010294553579162036
SP:7.13,FCOVER,14,0.6211685370804308,0.3858503514586426,Низкое совпадение (R² < 0.70 или обратная связь),0.2798170807453417,0.3394165122216301,0.6381008256022197,0.1608650019804246
SP:7.14,FCOVER,14,0.571628439452552,0.32675907279095995,Низкое совпадение (R² < 0.70 или обратная связь),0.2520920141969832,0.3379573464792754,0.6248358042046458,0.18044123005493443
SP:7.17,FCOVER,13,0.7599425469849783,0.5775126747180159,Низкое совпадение (R² < 0.70 или обратная связь),0.2852862398471094,0.31958225672133267,0.8330320215104424,0.0819296836323822
SP:7.18,FCOVER,13,0.7633741034743526,0.5827400218552716,Низкое совпадение (R² < 0.70 или обратная связь),0.32663516483516486,0.3958952699143153,0.5329217454775721,0.22182428773600474
SP:7.5,FCOVER,14,0.7270506269431122,0.5286026141383725,Низкое совпадение (R² < 0.70 или обратная связь),0.2772245785270631,0.320388266351074,0.7143643871101106,0.1223489002197298
SP:7.8,FCOVER,13,0.46045834698937715,0.21202188931218965,Низкое совпадение (R² < 0.70 или обратная связь),0.20392809364548492,0.2542044695180196,0.39928483306367224,0.17277907468978926
SP:7.9,FCOVER,14,0.996299981235046,0.9926136526089531,Высокое совпадение (R² >= 0.70),0.30530834072759533,0.28978472884877454,0.8316844251406187,0.035864537000108276
